FID,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
0,1,-94.82754687,29.29616639,,,20,299.3859436,2.8575854,54,4.172034,1.0275229,0.34953589,277.40493,40.945828,4.1193894
1,2,-94.85337711,29.26065271,,,20,179.5010882,2.6905924,46.093368,3.3115844,0.99516342,0.19320299,326.94598,43.501197,3.8768621
2,3,-94.91054062,29.22761695,,,20,34.21774366,1.8960859,14.171736,2.6409334,0.72634031,0.36680232,331.74258,45.801609,3.1557582
3,4,-95.09075417,29.11266364,,,20,97.56752303,0.5823434,15.200226,1.3176031,0.25679087,0.20854613,154.34638,36.929223,1.1813339
4,5,-94.79729463,29.30298393,,,20,76.20444328,2.5251435,54.281069,3.2927963,0.97880053,0.29696808,273.84019,50.191243,4.2499205
5,6,-94.77145592,29.3108481,,,20,21.07865643,1.188989,5,2.1599032,0.49207357,0.064371345,281.22591,42.292688,4.4678643
6,7,-94.90067877,29.30416782,,,10,33.92267929,1.0294341,10.887904,1.874988,0.42426747,0.30664657,90.222387,37.20281,1.3699627
7,8,-94.86117689,29.25516071,,,20,94.67971801,2.6018469,43.731126,3.4475076,0.98607449,0.37028352,298.04915,46.460174,3.8478616
8,9,-94.8970971,29.26088469,,,40,4.706811575,2.0903175,11.753667,4.0633082,0.83800001,0.54539396,314.95645,46.724912,3.3627871
9,10,-94.8089769,29.28371394,4,40,1,4.859425779,0.63240084,19.007078,0.83280605,0.20798515,0.085918724,111.72867,37.400704,1.6478477
10,11,-94.91827194,29.22275108,5,20,1,45.44791898,1.3450221,9.5297024,2.4778582,0.55423429,0.67017374,337.09361,44.312943,3.0800346
11,12,-95.06629966,29.12499772,5,25,1,31.43849358,0.75277085,11,16.930449,0.38706158,0.52286778,170.28289,36.961696,2.5820452
12,13,-94.91849422,29.22300584,5,20,1,26.43765561,1.3450221,9.5297024,2.4778582,0.55423429,0.67017374,337.09361,44.312943,3.0800346
13,14,-94.91874305,29.22329632,5,20,1,46.98701481,1.3450221,9.5297024,2.4778582,0.55423429,0.67017374,337.09361,44.312943,3.0800346
14,15,-94.91911512,29.22371298,5,20,1,39.27955518,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
15,16,-94.9194438,29.22400208,5,20,1,51.98340141,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
16,17,-94.91983777,29.2243574,5,20,1,41.56988265,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
17,18,-94.92010483,29.22483518,5,20,1,7.780913383,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
18,19,-94.91987187,29.22404684,5,20,1,23.18732538,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
19,20,-94.92024275,29.22437733,5,20,1,35.09606811,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
20,21,-94.9179311,29.22271882,5,20,1,38.060045,1.6390242,35.815995,2.2910164,0.62576328,0.47568725,318.86915,44.639811,3.0816975
21,22,-94.91759134,29.22301469,5,20,1,38.11014552,1.6390242,35.815995,2.2910164,0.62576328,0.47568725,318.86915,44.639811,3.0816975
22,23,-94.91725053,29.22330935,5,20,1,32.73734392,1.6390242,35.815995,2.2910164,0.62576328,0.47568725,318.86915,44.639811,3.0816975
23,24,-94.92049862,29.22459034,5,20,1,36.87906695,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
24,25,-94.91700785,29.22365621,5,20,1,22.57077803,2.691798,56,2.5235432,0.79666993,0.33106376,238.37845,45.442375,3.0895701
25,26,-94.91725092,29.22383327,5,20,1,14.67621187,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
26,27,-94.9174267,29.2239761,5,20,1,9.839807528,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
27,28,-94.91724612,29.22412535,5,20,1,4.57678337,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
28,29,-94.91716518,29.22397526,5,20,1,18.33065187,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
29,30,-94.9185275,29.22364073,5,20,1,23.94032171,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
30,31,-94.91831649,29.22372748,5,20,1,11.79103153,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
31,32,-94.919238,29.22413629,5,20,1,28.4875419,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
32,33,-94.91893442,29.22432618,5,20,1,42.14890993,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
33,34,-94.91907637,29.22439814,5,20,1,7.934475029,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
34,35,-94.91876776,29.22458173,5,20,1,7.907952374,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
35,36,-94.91862623,29.2245279,5,20,1,43.03039978,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
36,37,-94.91846011,29.22479071,5,20,1,8.594006149,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
37,38,-94.91830636,29.22471452,5,20,1,37.32694088,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
