OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
709,-94.81283182,29.29670702,2,54.05196536,3.1204639,65.418634,3.3777418,1.264152,0.3869672,155.49361,45.173255,5.2499741
724,-94.8167573,29.2955178,2,21.86547499,3.1302595,69.039215,3.2793809,1.2340024,0.37364127,147.35854,45.487864,5.2431403
725,-94.81682918,29.29565281,2,59.52504783,3.1302595,69.039215,3.2793809,1.2340024,0.37364127,147.35854,45.487864,5.2431403
1691,-94.79775911,29.30242825,2,23.75311659,3.6604422,55.097453,3.6128714,1.3904137,0.33371877,187.80608,42.165413,5.3123399
1692,-94.79779603,29.3025646,2,24.73957932,3.6604422,55.097453,3.6128714,1.3904137,0.33371877,187.80608,42.165413,5.3123399
1756,-94.79911214,29.30220274,2,107.2993877,3.786244,80,3.5805999,1.3933445,0.32998367,185.27489,42.027262,5.3064618
1851,-94.80024474,29.30176536,2,33.58088432,3.8726485,80,3.5887759,1.4248407,0.33850484,184.26504,42.147468,5.3078931
1852,-94.80006777,29.30182541,2,144.3409765,3.8726485,80,3.5887759,1.4248407,0.33850484,184.26504,42.147468,5.3078931
2014,-94.80250705,29.30118448,2,129.0916409,3.6134484,68.105849,3.644225,1.371523,0.37844294,183.45414,42.035244,5.2980772
2083,-94.8036644,29.30087908,2,180.9979195,3.6876832,69.931423,3.6501274,1.3962423,0.37698963,182.5808,42.182292,5.2953435
2318,-94.80665713,29.29928418,2,164.6551156,3.8145441,80,3.5827288,1.3639619,0.3731321,183.67013,43.550118,5.2795355
2324,-94.80706838,29.29999798,2,105.482249,3.9151404,80,3.621583,1.4131911,0.37764756,182.2453,42.794335,5.285983
2922,-94.81595819,29.29684206,2,92.42546489,3.0687721,22.817159,3.4203961,1.2490158,0.37063121,149.80581,44.462218,5.2559629
2926,-94.81626346,29.2977251,2,49.99874859,3.0951259,17.304232,3.4626744,1.2570397,0.36922949,151.73008,44.403401,5.2605741
3056,-94.81705017,29.29642461,2,14.30454746,3.0293041,16.911674,3.364036,1.2314682,0.37929618,147.99992,45.532999,5.2496975
3060,-94.81738038,29.29741298,2,20.37318329,3.0778057,17,3.4228897,1.2443979,0.38112792,149.71376,44.685683,5.2549251
3586,-94.82581575,29.29638604,2,306.2825056,3.8106978,79.745146,3.4110318,1.4056142,0.50114948,187.30209,48.654954,5.2602128
3687,-94.8259573,29.29018266,2,33.82282392,2.970307,17.823276,3.2046801,1.1947356,0.43626475,142.77703,48.651349,5.2123107
3691,-94.82612055,29.29060862,2,48.22853971,2.9810979,23.229302,3.2442419,1.1999446,0.414202,143.52101,48.6509,5.2183798
3739,-94.82316405,29.28188481,2,75.40907047,2.2076569,11.143811,2.8033398,0.91215075,0.51023242,140.60145,48.676081,5.1139598
3743,-94.82327178,29.28224162,2,17.98405901,2.3430361,12.148425,2.8429096,0.95284588,0.50396829,141.42343,48.67265,5.1255867
3745,-94.82345403,29.28275054,2,43.39617608,2.3430361,12.148425,2.8429096,0.95284588,0.50396829,141.42343,48.67265,5.1255867
3747,-94.82369348,29.28347929,2,19.00130516,2.4396249,13,2.8919628,0.98571743,0.49261901,141.68112,48.669545,5.1373203
3748,-94.82373858,29.2836164,2,39.40950932,2.4396249,13,2.8919628,1.0439617,0.49261901,141.68112,48.669545,5.1373203
3751,-94.82402521,29.28448302,2,31.83129557,2.5846373,13.737981,2.9722994,1.0490986,0.5262102,137.09942,48.662688,5.1502722
3755,-94.82432733,29.28535756,2,25.08646561,2.5846373,13.737981,2.9722994,1.0698347,0.5262102,137.09942,48.662688,5.1502722
3756,-94.82451577,29.28588081,2,41.5130714,2.6908129,14.139153,3.0229892,1.04383,0.55869604,133.62514,48.428106,5.1727553
3758,-94.82477209,29.28663562,2,33.88633645,2.7668745,14.929499,3.0234258,1.0957487,0.52530593,133.59737,48.656354,5.1771242
3760,-94.82502408,29.28739807,2,30.58590761,2.8803231,15.97614,3.078978,1.0957487,0.52618237,138.20244,48.654621,5.1876611
3763,-94.82526381,29.28811473,2,22.71607249,2.9807784,18.427588,3.1348487,1.1453574,0.49181982,139.30953,48.653198,5.1970127
3769,-94.82555715,29.28902159,2,28.94923352,2.9528362,39.325969,3.1730921,1.1782224,0.45871722,141.56836,47.629982,5.2052192
3775,-94.82585398,29.28980721,2,27.01537688,2.970307,17.823276,3.2046801,1.1947356,0.43626475,142.77703,48.651349,5.2123107
3779,-94.8263613,29.29134111,2,42.34656631,3.0942566,69.173234,3.2706184,1.230262,0.40634012,144.12624,48.650763,5.224221
3782,-94.82664929,29.29219237,2,51.62228809,3.1339443,79,3.3165267,1.2572103,0.41499994,143.68325,48.650953,5.2305418
3783,-94.8269368,29.2930317,2,68.15672554,3.2198567,79,3.3132007,1.2572103,0.42867761,144.26208,48.6495,5.2362039
3784,-94.82725627,29.29391868,2,50.75022142,3.259235,79,3.3502832,1.2727332,0.40498624,144.55177,48.650043,5.2430258
3788,-94.82754063,29.29477246,2,44.31373723,3.2998195,27.297523,3.3784862,1.268153,0.43808435,155.65734,48.652094,5.2561081
3792,-94.82786136,29.29564608,2,58.16938489,4.4050486,79.893462,3.4466358,1.3187444,0.57029436,184.16535,48.652395,5.2727964
3896,-94.82559195,29.28124277,2,41.47605384,3.1017508,16.491443,3.0138794,1.1758774,0.42718065,123.21742,48.66987,5.1151447
4015,-94.8264258,29.28059863,2,171.536027,3.8023502,50.34775,3.1487414,1.2993077,0.3211704,124.06652,48.671689,5.1098403
4016,-94.82655789,29.28098424,2,126.7381083,3.8023502,50.34775,3.1487414,1.2993077,0.3211704,124.06652,48.671689,5.1098403
4115,-94.82771956,29.28025789,2,178.864829,3.8023502,50.34775,3.1487414,1.3498974,0.3211704,124.06652,48.671689,5.1098403
4302,-94.83075255,29.2798421,2,153.4214599,3.8994099,49.31567,3.4627634,1.4260062,0.39574758,131.09804,48.67066,5.1248994
4303,-94.83021522,29.28008463,2,122.0207792,3.8994099,49.31567,3.4627634,1.4260062,0.39574758,131.09804,48.67066,5.1248994
4333,-94.83291075,29.278968,2,133.155453,3.3046397,19.322953,3.4365326,1.2512989,0.3729073,140.73099,48.670824,5.1447896
4690,-95.0896126,29.11277027,2,95.70934293,3.4184087,32.271374,4.6614626,1.047566,0.70973942,238.80837,48.542542,4.5289552
