OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
709,-94.81283182,29.29670702,2,54.05196536,1.657206,65.909594,2.5918342,0.54765387,0.17043552,31.475765,25.094399,3.7867162
724,-94.8167573,29.2955178,2,21.86547499,1.6577231,62.746487,2.5636048,0.54925692,0.17279991,35.44046,25.461516,3.7706039
725,-94.81682918,29.29565281,2,59.52504783,1.6577231,62.746487,2.5636048,0.54925692,0.17279991,35.44046,25.461516,3.7706039
1691,-94.79775911,29.30242825,2,23.75311659,2.1992695,59.132864,2.7705743,0.65977756,0.19104802,38.343105,24.058821,3.8511672
1692,-94.79779603,29.3025646,2,24.73957932,2.1992695,59.132864,2.7705743,0.65977756,0.19104802,38.343105,24.058821,3.8511672
1756,-94.79911214,29.30220274,2,107.2993877,2.3267061,86.67437,2.6754505,0.64719545,0.18957556,41.244483,24.005155,3.8469238
1851,-94.80024474,29.30176536,2,33.58088432,2.4096371,87,2.6726816,0.65257089,0.19019253,42.876176,24.052726,3.8448824
1852,-94.80006777,29.30182541,2,144.3409765,2.4096371,87,2.6726816,0.65257089,0.19019253,42.876176,24.052726,3.8448824
2014,-94.80250705,29.30118448,2,129.0916409,2.1457615,70.393192,2.6497708,0.63531688,0.18069927,43.698038,24.121034,3.8303903
2083,-94.8036644,29.30087908,2,180.9979195,2.2185997,72.76646,2.6408335,0.64377897,0.17302303,44.619086,24.217016,3.8262601
2318,-94.80665713,29.29928418,2,164.6551156,2.3533949,84.671244,2.6844115,0.64060514,0.16055269,107.45715,24.433037,3.8183869
2324,-94.80706838,29.29999798,2,105.482249,2.4486062,85,2.7730928,0.65139151,0.16806699,229.27874,24.474597,3.819449
2922,-94.81595819,29.29684206,2,92.42546489,1.5933912,18.473935,2.6220259,0.56141229,0.16842054,33.444644,25.007706,3.780582
2926,-94.81626346,29.2977251,2,49.99874859,1.6180006,12.304232,2.6787179,0.57494525,0.16135538,30.98361,25.031063,3.7834489
3056,-94.81705017,29.29642461,2,14.30454746,1.5532219,11.823349,2.5763421,0.53835949,0.16915152,36.256776,25.127681,3.7736153
3060,-94.81738038,29.29741298,2,20.37318329,1.5987361,12,2.6184516,0.55980847,0.16389002,32.297543,25.036233,3.7758556
3586,-94.82581575,29.29638604,2,306.2825056,2.3015547,82,2.4952033,0.69248206,0.24629034,46.654186,31.624474,3.7510697
3687,-94.8259573,29.29018266,2,33.82282392,1.5569752,11.823276,2.7173235,0.58033439,0.22456432,38.202015,31.618819,3.798979
3691,-94.82612055,29.29060862,2,48.22853971,1.5487425,18.336857,2.6114713,0.57397023,0.23701733,40.309671,31.619758,3.7860247
3739,-94.82316405,29.28188481,2,75.40907047,0.89726513,5.9562811,3.2480291,0.35998548,0.21618797,24.130537,31.624699,3.803568
3743,-94.82327178,29.28224162,2,17.98405901,1.0215057,7,3.3091167,0.40228131,0.21685254,24.583919,31.453358,3.8040562
3745,-94.82345403,29.28275054,2,43.39617608,1.0215057,7,3.3091167,0.40228131,0.21685254,24.583919,31.453358,3.8040562
3747,-94.82369348,29.28347929,2,19.00130516,1.1066386,7,3.3214931,0.42706596,0.21353866,26.154013,31.604715,3.804334
3748,-94.82373858,29.2836164,2,39.40950932,1.1066386,7,3.3214931,0.42706596,0.21353866,26.154013,31.604715,3.804334
3751,-94.82402521,29.28448302,2,31.83129557,1.2682444,7,3.3374508,0.51900954,0.22299773,27.445074,31.276565,3.8338793
3755,-94.82432733,29.28535756,2,25.08646561,1.2682444,7,3.3374508,0.51900954,0.22299773,27.445074,31.276565,3.8338793
3756,-94.82451577,29.28588081,2,41.5130714,1.3558265,8.9205267,2.9955103,0.4998172,0.23942974,29.596177,28.283275,3.8377687
3758,-94.82477209,29.28663562,2,33.88633645,1.4233629,9.8589979,3.2327682,0.55969245,0.21690324,34.049854,28.469234,3.8336126
3760,-94.82502408,29.28739807,2,30.58590761,1.5163694,10,3.1858978,0.56521536,0.238241,33.683434,27.846815,3.8237075
