,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PrePole
0,709,-94.81283182,29.29670702,,,2,54.05196536,POINT (-10554516.158870686 3413464.664438831),0.04
1,724,-94.8167573,29.2955178,,,2,21.86547499,POINT (-10554953.141305406 3413312.866492439),0.04
2,725,-94.81682918,29.29565281,,,2,59.52504783,POINT (-10554961.142950403 3413330.0997503353),0.04
3,1691,-94.79775911,29.30242825,,,2,23.75311659,POINT (-10552838.272468612 3414194.9753600787),0.04
4,1692,-94.79779603,29.3025646,,,2,24.73957932,POINT (-10552842.38238421 3414212.380839433),0.04
5,1756,-94.79911214,29.30220274,,,2,107.2993877,POINT (-10552988.89107924 3414166.188394965),0.04
6,1851,-94.80024474,29.30176536,,,2,33.58088432,POINT (-10553114.971534511 3414110.35582912),0.04
7,1852,-94.80006777,29.30182541,,,2,144.3409765,POINT (-10553095.271324225 3414118.0213359627),0.04
8,2014,-94.80250705,29.30118448,,,2,129.0916409,POINT (-10553366.810731728 3414036.205527065),0.04
9,2083,-94.8036644,29.30087908,,,2,180.9979195,POINT (-10553495.646344397 3413997.2208762676),0.04
10,2318,-94.80665713,29.29928418,,,2,164.6551156,POINT (-10553828.79552408 3413793.6320061674),0.04
11,2324,-94.80706838,29.29999798,,,2,105.482249,POINT (-10553874.575664667 3413884.7481315844),0.04
12,2922,-94.81595819,29.29684206,,,2,92.42546489,POINT (-10554864.184787117 3413481.9017268),0.04
13,2926,-94.81626346,29.2977251,,,2,49.99874859,POINT (-10554898.16728807 3413594.618630294),0.04
14,3056,-94.81705017,29.29642461,,,2,14.30454746,POINT (-10554985.743444674 3413428.616063942),0.04
15,3060,-94.81738038,29.29741298,,,2,20.37318329,POINT (-10555022.502253728 3413554.777515203),0.04
16,3586,-94.82581575,29.29638604,,,2,306.2825056,POINT (-10555961.523346782 3413423.6927834842),0.04
17,3687,-94.8259573,29.29018266,,,2,33.82282392,POINT (-10555977.280620703 3412631.8844818887),0.04
18,3691,-94.82612055,29.29060862,,,2,48.22853971,POINT (-10555995.453527575 3412686.2530881297),0.04
19,3739,-94.82316405,29.28188481,,,2,75.40907047,POINT (-10555666.337453045 3411572.810212128),0.04
20,3743,-94.82327178,29.28224162,,,2,17.98405901,POINT (-10555678.329901788 3411618.3489485458),0.04
21,3745,-94.82345403,29.28275054,,,2,43.39617608,POINT (-10555698.617878985 3411683.301365582),0.04
22,3747,-94.82369348,29.28347929,,,2,19.00130516,POINT (-10555725.273331055 3411776.3107985174),0.04
23,3748,-94.82373858,29.2836164,,,2,39.40950932,POINT (-10555730.29384009 3411793.8100470756),0.04
24,3751,-94.82402521,29.28448302,,,2,31.83129557,POINT (-10555762.201345736 3411904.4166642465),0.04
25,3755,-94.82432733,29.28535756,,,2,25.08646561,POINT (-10555795.833190294 3412016.0350612975),0.04
26,3756,-94.82451577,29.28588081,,,2,41.5130714,POINT (-10555816.81023514 3412082.818428332),0.04
27,3758,-94.82477209,29.28663562,,,2,33.88633645,POINT (-10555845.34364702 3412179.1568298494),0.04
28,3760,-94.82502408,29.28739807,,,2,30.58590761,POINT (-10555873.395045506 3412276.471067494),0.04
29,3763,-94.82526381,29.28811473,,,2,22.71607249,POINT (-10555900.081667032 3412367.9416248547),0.04
30,3769,-94.82555715,29.28902159,,,2,28.94923352,POINT (-10555932.73612646 3412483.6891883374),0.04
31,3775,-94.82585398,29.28980721,,,2,27.01537688,POINT (-10555965.779090915 3412583.963049988),0.04
32,3779,-94.8263613,29.29134111,,,2,42.34656631,POINT (-10556022.253694983 3412779.7470458467),0.04
33,3782,-94.82664929,29.29219237,,,2,51.62228809,POINT (-10556054.312595138 3412888.401475946),0.04
34,3783,-94.8269368,29.2930317,,,2,68.15672554,POINT (-10556086.318061935 3412995.534053074),0.04
35,3784,-94.82725627,29.29391868,,,2,50.75022142,POINT (-10556121.88129966 3413108.7496612077),0.04
36,3788,-94.82754063,29.29477246,,,2,44.31373723,POINT (-10556153.53611006 3413217.728494696),0.04
37,3792,-94.82786136,29.29564608,,,2,58.16938489,POINT (-10556189.239610342 3413329.2407036093),0.04
38,3896,-94.82559195,29.28124277,,,2,41.47605384,POINT (-10555936.610044742 3411490.8687098734),0.04
39,4015,-94.8264258,29.28059863,,,2,171.536027,POINT (-10556029.433802139 3411408.659708775),0.04
40,4016,-94.82655789,29.28098424,,,2,126.7381083,POINT (-10556044.137993678 3411457.8735020645),0.04
41,4115,-94.82771956,29.28025789,,,2,178.864829,POINT (-10556173.454506548 3411365.17264069),0.04
42,4302,-94.83075255,29.2798421,,,2,153.4214599,POINT (-10556511.08540893 3411312.1074851337),0.04
43,4303,-94.83021522,29.28008463,,,2,122.0207792,POINT (-10556451.270106941 3411343.0603249473),0.04
44,4333,-94.83291075,29.278968,,,2,133.155453,POINT (-10556751.335133959 3411200.551267535),0.04
45,4690,-95.0896126,29.11277027,,,2,95.70934293,POINT (-10585327.25436165 3390007.0080017424),0.04
46,4691,-95.08906185,29.11246326,,,2,94.94956459,POINT (-10585265.945152096 3389967.8898127205),0.04
47,4692,-95.08904071,29.1125244,,,2,70.49072037,POINT (-10585263.591858061 3389975.6800580514),0.04
48,4694,-95.08835103,29.11276327,,,2,118.4402587,POINT (-10585186.81703165 3390006.1160838166),0.04
49,4695,-95.08759954,29.11298039,,,2,126.1638533,POINT (-10585103.161547514 3390033.7808577865),0.04
