OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10446,-94.87045821,29.28926788,3,146.029603,1.4997781,1.2821882,1.664543,0.48192381,0.11865571,211.23537,44.571842,2.2994891
10447,-94.87171319,29.28998686,3,145.692017,0.41268774,0.33837708,0.4263443,0.12975103,0.006813899,56.084509,45.383675,0.62078964
10448,-94.87306452,29.29064859,3,154.65873,0.41268774,0.33837708,0.4263443,0.12975103,0.006813899,56.084509,45.383675,0.62078964
10449,-94.87448079,29.29119205,3,158.4593191,2.0989433,14.864604,4.1961977,0.66881779,0.37334362,332.00279,47.709038,3.6362342
10450,-94.8759006,29.29173736,3,154.3826482,2.0368386,3.3992349,3.9727818,0.75350469,0.068576801,298.44741,47.408133,3.3280706
10451,-94.87724347,29.29239235,3,151.7052371,-0.00420637,0,1.9748755,0.79717987,0.99865027,117.9285,45.704571,1.6031813
10452,-94.87861492,29.29305656,3,152.2907933,-0.01,0,4.9690722,1.8498138,2.7904169,294.65725,47.50104,3.6748567
10453,-94.87996829,29.2937116,3,151.0900278,-0.01,0,4.8325679,1.8285201,2.5878103,292.68164,47.463118,3.6758303
10454,-94.88131822,29.29437726,3,150.2885289,-0.01,0,4.7541829,1.8467202,2.5767047,292.53483,47.471695,3.6926506
10455,-94.88265724,29.29502627,3,149.0079226,-0.01,0,4.1761487,1.9030895,2.3804191,284.15374,47.387726,3.6737837
10456,-94.88398425,29.29567933,3,149.5155076,-0.01,0,4.8594179,1.7854923,2.7616915,257.34871,47.341608,3.6681902
10457,-94.8853324,29.29632018,3,151.2781526,-0.01,0,4.814571,1.8109802,2.3753247,243.39186,47.304341,3.6683565
10458,-94.88669093,29.29699351,3,149.8839306,-0.01,0,5.326079,1.6335943,2.3876925,276.88097,47.221577,3.6515462
10459,-94.888014,29.29765841,3,149.6094427,-0.01,0,4.8113912,1.7133585,2.2512538,233.05254,47.139023,3.6369311
10460,-94.88936762,29.29833069,3,151.0982794,-0.01,0,4.7301356,1.7440281,2.0114809,232.12403,47.0939,3.6198281
10461,-94.89071742,29.29898354,3,151.3909291,-0.01,0,4.9306215,1.6817177,1.9919359,239.57593,47.057369,3.6128535
10462,-94.8920763,29.29964984,3,151.5585966,-0.01,0,5.0436199,1.6979787,2.0772534,235.85632,47.017315,3.6078737
10463,-94.89342908,29.30030852,3,150.3143546,-0.01,0,5.0750929,1.7233907,2.1080656,234.4897,46.970587,3.5942664
10464,-94.89476568,29.30096991,3,150.4237672,-0.01,0,5.1744506,1.6290649,2.1631984,228.3699,46.869344,3.577218
10465,-94.89612042,29.30162836,3,150.9104031,-0.01,0,5.1153002,1.5471551,2.1488659,222.36727,46.789153,3.5876644
10466,-94.89746572,29.30229671,3,149.8950001,-0.01,0,4.9447381,1.4623098,2.1265169,217.85912,46.727524,3.5896071
10467,-94.89880229,29.30294757,3,150.4523329,-0.00539992,0,2.6275172,0.72603215,1.3797291,114.91761,41.927035,1.9189181
10468,-94.90015763,29.30359847,3,82.95862213,0,0,0,0,0,0,36.201458,0
10555,-94.86910101,29.28855429,3,144.1841941,1.413038,5.7349607,5.5325291,0.73857999,0.45367107,265.09966,45.903594,3.7926359
10558,-94.86787864,29.28796185,3,112.0152956,0.13981887,1.3940905,3.6210247,0.20356855,0.25787708,185.85484,43.667627,2.6200684
10561,-94.86709686,29.2875702,3,96.85476558,1.6807985,6.0108268,5.2201417,0.74024856,0.63190744,279.6851,46.674829,3.9402866
10570,-94.86438791,29.28803798,3,305.6383934,1.5885778,6.1805706,5.2309695,0.74804278,0.47977699,290.07458,48.169574,3.9338342
10571,-94.8644067,29.28816055,3,155.1309341,1.5885778,6.1805706,5.2309695,0.74804278,0.47977699,290.07458,48.169574,3.9338342
10572,-94.86311066,29.28827627,3,311.4139228,1.2727448,5.209132,5.1646832,0.57353619,0.36352511,288.87227,47.951096,3.9261908
10573,-94.86311304,29.2884163,3,158.4225341,1.2727448,5.209132,5.1646832,0.57353619,0.36352511,288.87227,47.951096,3.9261908
10574,-94.8616001,29.28790379,3,346.7849395,1.6701573,23.968264,5.1721001,0.61333116,0.31844802,288.34311,47.176155,3.917977
10575,-94.86157027,29.28804387,3,170.9224148,1.6701573,23.968264,5.1721001,0.61333116,0.31844802,288.34311,47.176155,3.917977
10576,-94.86000601,29.28780631,3,257.6213208,2.5775543,54,5.1715088,0.83345353,0.46270606,291.50871,48.355818,3.9277319
10577,-94.86005262,29.28793974,3,158.4982162,2.5775543,54,5.1715088,0.83345353,0.46270606,291.50871,48.355818,3.9277319
10578,-94.85869083,29.28808576,3,146.7227474,2.1745924,45.268002,5.1641354,0.79286487,0.54212778,294.05645,48.405376,3.9254506
10579,-94.85873221,29.28820761,3,147.2582254,2.1745924,45.268002,5.1641354,0.79286487,0.54212778,294.05645,48.405376,3.9254506
10588,-94.85737898,29.28833996,3,146.7567596,1.6972184,21.793544,5.2273062,0.65421303,0.55035597,293.23236,24.093559,3.9077572
10589,-94.85741604,29.28849798,3,146.4996234,2.0097727,54,5.1537252,0.69732669,0.38622748,291.18513,6.2891659,3.9311421
10590,-94.85606319,29.28861234,3,147.038243,1.8426588,37.61238,5.2436603,0.65795393,0.64846309,284.11927,25.488393,3.9173589
10591,-94.85610919,29.28874955,3,147.2315491,1.8426588,37.61238,5.2436603,0.65795393,0.64846309,284.11927,25.488393,3.9173589
10592,-94.8547463,29.28887497,3,146.9746372,2.0261489,44.366846,5.2394761,0.74563681,0.76488477,286.33623,48.666838,3.9080537
10593,-94.85477988,29.28902104,3,147.5730872,2.0261489,44.366846,5.2394761,0.74563681,0.76488477,286.33623,48.666838,3.9080537
10595,-94.85343164,29.28914009,3,220.1551304,2.0261489,44.366846,5.2394761,0.74563681,0.76488477,286.33623,48.666838,3.9080537
10596,-94.85080447,29.28966687,3,230.1108701,2.6468809,54,4.9278387,0.96229338,0.28850314,283.65305,48.831828,3.973172
10597,-94.85082713,29.28981056,3,230.2300063,2.6468809,54,4.9278387,0.96229338,0.28850314,283.65305,48.831828,3.973172
10599,-94.84934473,29.29011938,3,164.8552948,2.3209386,31.137451,4.926412,0.91004551,0.21142106,279.63556,48.857518,3.9884084
10600,-94.84785572,29.29027672,3,164.6833576,2.4384135,51.592062,5.1426731,0.93560538,0.72955703,281.31343,48.869114,3.978088
10601,-94.84787545,29.29041809,3,165.0089629,3.2008676,54.009268,4.9832011,1.0346574,0.48760412,273.2669,48.883555,3.9890709
10602,-94.84636296,29.29057774,3,166.405857,2.7411811,48.390342,4.8682534,1.0263681,0.63524225,290.78506,48.890309,3.9974134
10603,-94.84639028,29.29071245,3,166.28374,2.7411811,48.390342,4.8682534,1.0263681,0.63524225,290.78506,48.890309,3.9974134
10604,-94.84487627,29.29088329,3,165.5868203,2.4935186,30.638327,5.1394754,0.97214684,0.67446643,290.36043,48.905694,4.0087724
10605,-94.84489817,29.29101177,3,166.0578973,2.4935186,30.638327,5.1394754,0.97214684,0.67446643,290.36043,48.905694,4.0087724
10606,-94.84339818,29.29117968,3,165.6412136,1.692729,9.8495246,5.0852452,0.78892531,0.49029965,291.10387,48.914268,4.0208108
10607,-94.84341705,29.29131041,3,165.1569208,3.1672686,43.01507,5.0146543,1.0459728,0.36125273,293.3668,48.931468,4.0163113
10608,-94.84191052,29.29149285,3,166.8046231,2.4587182,47.431454,4.9878406,0.96936543,0.21117569,292.36619,48.661652,4.0360274
10609,-94.84194109,29.29161689,3,165.5064022,2.4587182,47.431454,4.9878406,0.96936543,0.21117569,292.36619,48.661652,4.0360274
10610,-94.84041175,29.29188505,3,167.9034833,1.9978326,25.962981,5.0702305,0.8303404,0.23369081,291.13436,48.962532,4.03908
10611,-94.84045387,29.29201255,3,166.2076262,1.9978326,25.962981,5.0702305,0.8303404,0.23369081,291.13436,48.962532,4.03908
10612,-94.83890451,29.29225647,3,167.3452235,3.1046759,54.269255,4.8851223,1.0060729,0.30885283,305.93453,49.028157,4.0367414
10613,-94.83896547,29.29239305,3,166.9882378,3.3162152,55,4.2178321,1.0222119,0.28050457,312.81328,49.014612,4.0316116
10614,-94.83741576,29.29266306,3,166.9468653,3.0740279,54,5.0310374,1.0186327,0.35323176,302.72805,49.042162,4.0430649
10615,-94.83746431,29.29280691,3,164.9132396,3.0740279,54,5.0310374,1.0186327,0.35323176,302.72805,49.042162,4.0430649
10616,-94.8359157,29.29306317,3,188.9856645,2.9869641,54,3.6433316,1.0000074,0.4045073,303.64408,49.056798,4.0510793
10617,-94.83601307,29.29318547,3,177.7382189,3.032462,54,4.2773385,0.96176498,0.39374972,306.35554,49.079476,4.052266
10618,-94.83403375,29.29405196,3,188.6505052,3.3511144,54,2.9035233,0.90922204,0.48597538,344.73581,49.136164,4.0687451
10619,-94.83428373,29.29414675,3,172.0855514,3.3511144,54,2.9035233,0.90922204,0.48597538,344.73581,49.136164,4.0687451
10620,-94.83293372,29.29450869,3,157.3947244,3.3979932,54,2.8836037,0.90349854,0.46652089,344.42376,49.153981,4.0779663
10621,-94.83253969,29.29444454,3,159.6189557,3.3642511,54,2.8380184,0.890632,0.45650269,333.4163,49.172356,4.0861141
10622,-94.83146588,29.29487288,3,162.0374028,3.2666358,54,2.7145436,0.90658727,0.45186567,257.76757,49.191225,4.0926461
10623,-94.83117613,29.29482077,3,163.9333705,3.2666358,54,2.7145436,0.90658727,0.45186567,257.76757,49.191225,4.0926461
10624,-94.83003279,29.29528021,3,86.46999453,3.4304643,54,2.7962555,0.91975805,0.6128445,244.25796,49.238079,4.0975402
10625,-94.82960485,29.29524841,3,172.2859965,3.1550161,54,3.9173797,0.99296614,0.56121862,253.65908,49.257017,4.1050562
10626,-94.83014402,29.29562435,3,62.11918689,3.4304643,54,2.7962555,0.91975805,0.6128445,244.25796,49.238079,4.0975402
10627,-94.82809169,29.29562205,3,115.0497328,3.2445167,54,4.6188434,1.0403424,0.43350018,260.53661,48.317992,4.1122646
10628,-94.82914692,29.2959321,3,105.0271209,3.4616632,54,3.7566607,0.94404974,0.67133132,241.27214,49.287062,4.1020325
10629,-94.82826385,29.29618074,3,89.36546633,3.2445167,54,4.6188434,1.0403424,0.43350018,260.53661,48.317992,4.1122646
12555,-94.8244577,29.29655075,3,131.9019405,2.1230859,34.63327,3.0019468,0.89167738,0.27900054,296.21478,39.109662,4.1522161
13763,-94.86584703,29.28789556,3,229.4393054,2.1543654,8.9386389,5.2623308,0.90475632,0.64347171,285.21986,47.909423,3.932578
13764,-94.8658908,29.28802489,3,97.14598452,2.1543654,8.9386389,5.2623308,0.90475632,0.64347171,285.21986,47.909423,3.932578
16036,-94.85216329,29.28954805,3,0,2.4459247,54,5.1128897,0.85018808,0.52065987,289.22251,48.729243,3.9482841
16037,-94.8521136,29.28940411,3,0,2.6339621,54,5.017894,0.92174404,0.4506298,286.57956,48.780434,3.9609376
