OBJECTID,LON,LAT,TYPE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10446,-94.87045821,29.28926788,3,146.029603,1.6470012,1.9280828,2.7226889,0.29978157,0.036548757,14.501846,27.258221,2.4467122
10447,-94.87171319,29.28998686,3,145.692017,0.44262311,0.67675416,0.72832825,0.081486954,0.024149634,2.2747552,26.659038,0.65072502
10448,-94.87306452,29.29064859,3,154.65873,0.44262311,0.67675416,0.72832825,0.081486954,0.024149634,2.2747552,26.659038,0.65072502
10449,-94.87448079,29.29119205,3,158.4593191,2.2965188,11.864604,4.3600428,0.71125427,0.3367211,25.728093,29.462952,3.8338097
10450,-94.8759006,29.29173736,3,154.3826482,2.2517621,8.3932573,3.9284764,0.6704791,0.056093133,13.284161,30.739099,3.5429942
10451,-94.87724347,29.29239235,3,151.7052371,-0.00420637,0,1.7515943,0.66863447,0.78213915,112.27996,28.566216,1.5654081
10452,-94.87861492,29.29305656,3,152.2907933,-0.01,0,4.5701262,1.4906441,2.2426693,42.11749,31.413882,3.7495094
10453,-94.87996829,29.2937116,3,151.0900278,-0.01,0,4.5969876,1.510631,2.0894796,30.274229,31.410377,3.7475843
10454,-94.88131822,29.29437726,3,150.2885289,-0.01,0,4.6548052,1.5019454,2.0846977,32.830256,31.409963,3.7461206
10455,-94.88265724,29.29502627,3,149.0079226,-0.01,0,4.472145,1.4733777,1.9405267,34.602491,31.402912,3.7469539
10456,-94.88398425,29.29567933,3,149.5155076,-0.01,0,4.4012977,1.4546258,2.2603386,38.375992,31.400064,3.7479368
10457,-94.8853324,29.29632018,3,151.2781526,-0.01,0,4.5817502,1.4570656,1.9496465,45.003786,31.395903,3.746737
10458,-94.88669093,29.29699351,3,149.8839306,-0.01,0,4.7415446,1.5094915,2.005968,43.389353,31.389262,3.7470679
10459,-94.888014,29.29765841,3,149.6094427,-0.01,0,4.5437345,1.5638926,1.8729944,49.980399,31.382955,3.7485873
10460,-94.88936762,29.29833069,3,151.0982794,-0.01,0,4.5393574,1.5600111,1.6608808,50.885385,31.380639,3.7473121
10461,-94.89071742,29.29898354,3,151.3909291,-0.01,0,4.569675,1.5396387,1.6228382,51.239187,31.376383,3.7468916
10462,-94.8920763,29.29964984,3,151.5585966,-0.01,0,4.500408,1.4824591,1.6977255,51.439182,31.371956,3.747193
10463,-94.89342908,29.30030852,3,150.3143546,-0.01,0,4.4583621,1.4729134,1.7249181,52.362785,31.369142,3.7467526
10464,-94.89476568,29.30096991,3,150.4237672,-0.01,0,4.4864437,1.4216448,1.749463,56.497109,31.362282,3.7459504
10465,-94.89612042,29.30162836,3,150.9104031,-0.01,0,4.5212039,1.4070219,1.7079025,60.716056,31.356682,3.7452058
10466,-94.89746572,29.30229671,3,149.8950001,-0.01,0,4.5014534,1.3417714,1.6480479,64.948204,31.352705,3.7420068
10467,-94.89880229,29.30294757,3,150.4523329,-0.00539992,0,2.4561524,0.69132849,1.0649468,37.25341,29.4479,2.0213962
10468,-94.90015763,29.30359847,3,82.95862213,0.13680535,0.67709779,0.84522816,0.062041342,0.024965498,1.2980558,26.904775,0.86536257
10555,-94.86910101,29.28855429,3,144.1841941,1.2861601,12.875406,2.2679248,0.53235242,0.18575392,143.22771,26.378124,3.6657581
10558,-94.86787864,29.28796185,3,112.0152956,0.0979656,0.8091061,0.025522122,0.005650604,0.13831054,1.6156168,25.122156,2.5782151
10561,-94.86709686,29.2875702,3,96.85476558,1.4533691,11.187373,4.1855883,0.53449367,0.31967576,253.57527,26.441481,3.7128572
10570,-94.86438791,29.28803798,3,305.6383934,1.38687,9.182146,4.4529818,0.59107254,0.40547732,281.16872,25.941901,3.7321263
10571,-94.8644067,29.28816055,3,155.1309341,1.38687,9.182146,4.4529818,0.59107254,0.40547732,281.16872,25.941901,3.7321263
10572,-94.86311066,29.28827627,3,311.4139228,1.0886385,6.6519336,4.3215544,0.43685209,0.26418648,172.92317,25.113148,3.7420845
10573,-94.86311304,29.2884163,3,158.4225341,1.0886385,6.6519336,4.3215544,0.43685209,0.26418648,172.92317,25.113148,3.7420845
10574,-94.8616001,29.28790379,3,346.7849395,1.5019151,35.258842,4.3359172,0.46261201,0.21910797,184.84228,26.148213,3.7497348
