OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10,-94.8089769,29.28371394,four,40,1,Very Stiff,0,4.859425779,1.0033792,28.145096,1.0871925,0,0.18863229,59.543422,48.715045,2.0188261
11,-94.91827194,29.22275108,five,20,1,Very Stiff,0,45.44791898,3.5507018,22.468939,11.429447,1.4883949,1.2842438,140.66326,46.566875,5.2857143
12,-95.06629966,29.12499772,five,25,1,Very Stiff,0,31.43849358,3.1026895,34.443037,11.13172,1.6247913,1.2865451,143.97607,48.648204,4.9319636
13,-94.91849422,29.22300584,five,20,1,Very Stiff,0,26.43765561,3.5507018,22.468939,11.429447,1.4883949,1.2842438,140.66326,46.566875,5.2857143
14,-94.91874305,29.22329632,five,20,1,Very Stiff,0,46.98701481,3.5507018,22.468939,11.429447,1.4883949,1.2842438,140.66326,46.566875,5.2857143
15,-94.91911512,29.22371298,five,20,1,Very Stiff,0,39.27955518,3.325778,19.437338,11.789528,1.4489651,1.1913061,136.19513,46.620512,5.270711
16,-94.9194438,29.22400208,five,20,1,Very Stiff,0,51.98340141,3.325778,19.437338,11.789528,1.4489651,1.1913061,136.19513,46.620512,5.270711
17,-94.91983777,29.2243574,five,20,1,Very Stiff,0,41.56988265,3.3712554,20.141653,12.196742,1.4489651,1.1623063,134.94833,46.724038,5.252259
18,-94.92010483,29.22483518,five,20,1,Very Stiff,0,7.780913383,3.2097002,24.466471,12.091906,1.399203,1.1839456,130.47223,46.662514,5.2370972
19,-94.91987187,29.22404684,five,20,1,Very Stiff,0,23.18732538,3.325778,19.437338,11.789528,1.4489651,1.1913061,136.19513,46.620512,5.270711
20,-94.92024275,29.22437733,five,20,1,Very Stiff,0,35.09606811,3.2097002,24.466471,12.091906,1.399203,1.1839456,130.47223,46.662514,5.2370972
21,-94.9179311,29.22271882,five,20,1,Very Stiff,0,38.060045,3.8909821,55.147993,10.077744,1.5432884,1.1484862,187.39035,47.466027,5.333656
22,-94.91759134,29.22301469,five,20,1,Very Stiff,0,38.11014552,3.8909821,55.147993,10.077744,1.5432884,1.1484862,187.39035,47.466027,5.333656
23,-94.91725053,29.22330935,five,20,1,Very Stiff,0,32.73734392,3.8909821,55.147993,10.077744,1.5432884,1.1484862,187.39035,47.466027,5.333656
24,-94.92049862,29.22459034,five,20,1,Very Stiff,0,36.87906695,3.2097002,24.466471,12.091906,1.399203,1.1839456,130.47223,46.662514,5.2370972
25,-94.91700785,29.22365621,five,20,1,Very Stiff,0,22.57077803,4.9360104,80,9.9678166,1.5432884,1.1884324,184.22124,48.162272,5.3337825
26,-94.91725092,29.22383327,five,20,1,Very Stiff,0,14.67621187,4.082115,80,10.098719,1.5432884,1.1845579,185.22195,48.156007,5.3185216
27,-94.9174267,29.2239761,five,20,1,Very Stiff,0,9.839807528,4.082115,80,10.098719,1.5432884,1.1845579,185.22195,48.156007,5.3185216
28,-94.91724612,29.22412535,five,20,1,Very Stiff,0,4.57678337,4.082115,80,10.098719,1.5432884,1.1845579,185.22195,48.156007,5.3185216
29,-94.91716518,29.22397526,five,20,1,Very Stiff,0,18.33065187,4.082115,80,10.098719,1.5432884,1.1845579,185.22195,48.156007,5.3185216
30,-94.9185275,29.22364073,five,20,1,Very Stiff,0,23.94032171,3.325778,19.437338,11.789528,1.4489651,1.1913061,136.19513,46.620512,5.270711
31,-94.91831649,29.22372748,five,20,1,Very Stiff,0,11.79103153,3.325778,19.437338,11.789528,1.4489651,1.1913061,136.19513,46.620512,5.270711
