OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10,-94.8089769,29.28371394,four,40,1,Very Stiff,0,4.859425779,0.34409663,28.510617,0.62753767,0.11883471,0.066416337,19.45937,31.696305,1.3595435
11,-94.91827194,29.22275108,five,20,1,Very Stiff,0,45.44791898,1.8131563,16.059405,12.153045,0.6940802,0.44842919,67.298478,30.885091,3.5481687
12,-95.06629966,29.12499772,five,25,1,Very Stiff,0,31.43849358,0.87522661,10.886074,11.683368,0.48038357,0.54878814,117.89048,30.46426,2.7045009
13,-94.91849422,29.22300584,five,20,1,Very Stiff,0,26.43765561,1.8131563,16.059405,12.153045,0.6940802,0.44842919,67.298478,30.885091,3.5481687
14,-94.91874305,29.22329632,five,20,1,Very Stiff,0,46.98701481,1.8131563,16.059405,12.153045,0.6940802,0.44842919,67.298478,30.885091,3.5481687
15,-94.91911512,29.22371298,five,20,1,Very Stiff,0,39.27955518,1.5963356,13.434023,12.090293,0.63195084,0.40695298,76.788837,28.651159,3.5412685
16,-94.9194438,29.22400208,five,20,1,Very Stiff,0,51.98340141,1.5963356,13.434023,12.090293,0.63195084,0.40695298,76.788837,28.651159,3.5412685
17,-94.91983777,29.2243574,five,20,1,Very Stiff,0,41.56988265,1.6497335,15.568135,12.066917,0.63521895,0.38667746,89.43846,28.561875,3.530737
18,-94.92010483,29.22483518,five,20,1,Very Stiff,0,7.780913383,1.5021264,19.362099,12.082286,0.59502657,0.43940831,60.77731,27.556883,3.5295235
19,-94.91987187,29.22404684,five,20,1,Very Stiff,0,23.18732538,1.5963356,13.434023,12.090293,0.63195084,0.40695298,76.788837,28.651159,3.5412685
20,-94.92024275,29.22437733,five,20,1,Very Stiff,0,35.09606811,1.5021264,19.362099,12.082286,0.59502657,0.43940831,60.77731,27.556883,3.5295235
21,-94.9179311,29.22271882,five,20,1,Very Stiff,0,38.060045,2.1153431,56.223992,12.128212,0.74374224,0.38038545,96.81942,31.211782,3.558017
22,-94.91759134,29.22301469,five,20,1,Very Stiff,0,38.11014552,2.1153431,56.223992,12.128212,0.74374224,0.38038545,96.81942,31.211782,3.558017
23,-94.91725053,29.22330935,five,20,1,Very Stiff,0,32.73734392,2.1153431,56.223992,12.128212,0.74374224,0.38038545,96.81942,31.211782,3.558017
24,-94.92049862,29.22459034,five,20,1,Very Stiff,0,36.87906695,1.5021264,19.362099,12.082286,0.59502657,0.43940831,60.77731,27.556883,3.5295235
25,-94.91700785,29.22365621,five,20,1,Very Stiff,0,22.57077803,3.1651881,86,12.060535,0.82189977,0.48899544,85.169792,31.216968,3.5629602
