FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
0,59,SAN LUIS PASS,3217562.71269,13609487.2572,3206274.21788,13597267.3234,"3217562.71269,13609487.2572","3206274.21788,13597267.3234",0,141,1,142,16878.2303765,132,1787.11302331,0,3212927.84616,13602595.6741,544.712049505,-95.10663,29.09773
1,29,CATALINA,3217562.71269,13609487.2572,3217677.05039,13609180.458,"3217562.71269,13609487.2572","3217677.05039,13609180.458",0,142,1,143,327.806951016,132,1289.16388207,1,3218307.25309,13608245.0693,392.937151255,-95.08715,29.11248
2,59,SAN LUIS PASS,3223778.5559,13613531.3095,3217562.71269,13609487.2572,"3223778.5559,13613531.3095","3217562.71269,13609487.2572",1,0,2,1,7646.366883,132,428.437391925,2,3221136.16747,13610729.476,130.587717059,-95.0768,29.11693
3,9,4TH,3222824.51713,13614830.1298,3223778.5559,13613531.3095,"3222824.51713,13614830.1298","3223778.5559,13613531.3095",2,1,3,2,1611.55949035,131,1192.73862812,3,3224067.15006,13613266.137,363.546733851,-95.06884,29.12528
4,59,SAN LUIS PASS,3232284.98869,13620351.4586,3223778.5559,13613531.3095,"3232284.98869,13620351.4586","3223778.5559,13613531.3095",3,1,4,2,10903.2407945,131,396.172282672,4,3228259.57357,13616645.4752,120.753311758,-95.05378,29.13248
5,58,SAN JACINTO,3231548.25132,13621349.7421,3232284.98869,13620351.4586,"3231548.25132,13621349.7421","3232284.98869,13620351.4586",4,3,5,4,1240.70615956,131,1107.17745688,5,3232587.18974,13619969.5906,337.467688857,-95.04116,29.14282
6,59,SAN LUIS PASS,3248625.97274,13632792.7464,3232284.98869,13620351.4586,"3248625.97274,13632792.7464","3232284.98869,13620351.4586",5,3,6,4,20539.2191906,130,615.121872525,6,3240773.44285,13626143.3588,187.489146746,-95.01396,29.15793
7,40,HALBA,3248625.97274,13632792.7464,3248827.35784,13632525.7318,"3248625.97274,13632792.7464","3248827.35784,13632525.7318",5,143,6,144,334.443913015,129,429.151098986,7,3248973.1459,13632307.9302,130.805254971,-94.98726,29.1737
8,59,SAN LUIS PASS,3252149.01393,13635399.751,3248625.97274,13632792.7464,"3252149.01393,13635399.751","3248625.97274,13632792.7464",6,5,7,6,4382.90869385,129,623.041588325,8,3250739.58224,13633603.7307,189.903076121,-94.98193,29.17753
9,59,SAN LUIS PASS,3253202.33269,13636166.3509,3252149.01393,13635399.751,"3253202.33269,13636166.3509","3252149.01393,13635399.751",7,6,8,7,1302.74929709,129,613.122683503,9,3253089.71666,13635330.8482,186.879793932,-94.97455,29.18191
