,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_Pole_VS,Pf_Pole_S,Pf_Pole_M
0,10,-94.8089769,29.28371394,4,40,1,4.859425779,POINT (-10554087.031139238 3411806.259019905),0.009864714,0.011576794,0.016914349
1,11,-94.91827194,29.22275108,5,20,1,45.44791898,POINT (-10566253.699338267 3404027.920282808),0.078542191,0.096816159,0.199730446
2,12,-95.06629966,29.12499772,5,25,1,31.43849358,POINT (-10582732.069751957 3391565.0837728544),0.049390273,0.05788807,0.107808344
3,13,-94.91849422,29.22300584,5,20,1,26.43765561,POINT (-10566278.44343468 3404060.415836256),0.064993058,0.078562768,0.162508566
4,14,-94.91874305,29.22329632,5,20,1,46.98701481,POINT (-10566306.143063575 3404097.46770268),0.079751752,0.098460717,0.203023873
5,15,-94.91911512,29.22371298,5,20,1,39.27955518,POINT (-10566347.561706513 3404150.6145078246),0.063602252,0.077556969,0.150782917
6,16,-94.9194438,29.22400208,5,20,1,51.98340141,POINT (-10566384.150196748 3404187.490604177),0.071598304,0.088387696,0.171757233
7,17,-94.91983777,29.2243574,5,20,1,41.56988265,POINT (-10566428.006736536 3404232.8135228115),0.064640318,0.079060782,0.152427993
8,18,-94.92010483,29.22483518,5,20,1,7.780913383,POINT (-10566457.735719746 3404293.757100824),0.042115501,0.049434516,0.09451582
9,19,-94.91987187,29.22404684,5,20,1,23.18732538,POINT (-10566431.802731171 3404193.199966898),0.054719154,0.065682958,0.127426679
10,20,-94.92024275,29.22437733,5,20,1,35.09606811,POINT (-10566473.088903917 3404235.355702884),0.053954222,0.064984636,0.125308992
11,21,-94.9179311,29.22271882,5,20,1,38.060045,POINT (-10566215.757203026 3404023.805409652),0.075452347,0.092789327,0.190268587
12,22,-94.91759134,29.22301469,5,20,1,38.11014552,POINT (-10566177.935292833 3404061.5446870103),0.075490277,0.092840804,0.190372069
13,23,-94.91725053,29.22330935,5,20,1,32.73734392,POINT (-10566139.996497177 3404099.1297328877),0.071526193,0.08747424,0.179532862
14,24,-94.92049862,29.22459034,5,20,1,36.87906695,POINT (-10566501.572222028 3404262.526319691),0.054832559,0.066153957,0.127605243
15,25,-94.91700785,29.22365621,5,20,1,22.57077803,POINT (-10566112.98148315 3404143.373233335),0.076304672,0.093214494,0.198505543
16,26,-94.91725092,29.22383327,5,20,1,14.67621187,POINT (-10566140.039911777 3404165.9580635997),0.058506469,0.0702155,0.144873896
17,27,-94.9174267,29.2239761,5,20,1,9.839807528,POINT (-10566159.607651869 3404184.1767258854),0.055716626,0.066524522,0.137120577
18,28,-94.91724612,29.22412535,5,20,1,4.57678337,POINT (-10566139.505578222 3404203.2143175923),0.052829632,0.062725793,0.129101544
19,29,-94.91716518,29.22397526,5,20,1,18.33065187,POINT (-10566130.495378638 3404184.0695797196),0.060705235,0.073137615,0.150983617
20,30,-94.9185275,29.22364073,5,20,1,23.94032171,POINT (-10566282.148147335 3404141.3986888644),0.05510615,0.066196342,0.128443568
21,31,-94.91831649,29.22372748,5,20,1,11.79103153,POINT (-10566258.658621581 3404152.464050129),0.049179578,0.058377737,0.112896196
22,32,-94.919238,29.22413629,5,20,1,28.4875419,POINT (-10566361.240645545 3404204.609770966),0.057501131,0.06938178,0.134739559
23,33,-94.91893442,29.22432618,5,20,1,42.14890993,POINT (-10566327.446274528 3404228.8312427304),0.065328374,0.07988448,0.155318262
24,34,-94.91907637,29.22439814,5,20,1,7.934475029,POINT (-10566343.248076247 3404238.010132278),0.047235809,0.055904656,0.107033937
25,35,-94.91876776,29.22458173,5,20,1,7.907952374,POINT (-10566308.893768191 3404261.4280649414),0.057616957,0.068756081,0.141421323
26,36,-94.91862623,29.2245279,5,20,1,43.03039978,POINT (-10566293.138720661 3404254.561742626),0.081876845,0.101342343,0.208027782
27,37,-94.91846011,29.22479071,5,20,1,8.594006149,POINT (-10566274.64632685 3404288.0846853876),0.058015318,0.069281411,0.142522571
28,38,-94.91830636,29.22471452,5,20,1,37.32694088,POINT (-10566257.530955141 3404278.3661992718),0.077353605,0.095186765,0.195732423
29,39,-94.91811241,29.2248435,5,20,1,10.84804678,POINT (-10566235.940539902 3404294.818367039),0.059343312,0.071035413,0.146193732
30,40,-94.91996563,29.22476504,5,20,1,26.4321707,POINT (-10566442.240046628 3404284.81032392),0.056139553,0.067656539,0.13022111
31,41,-94.91983723,29.22499962,5,20,1,1.673028967,POINT (-10566427.94662401 3404314.732431289),0.044551119,0.052406245,0.10008441
32,42,-94.91980975,29.22486057,5,20,1,36.13726853,POINT (-10566424.887564404 3404296.995748834),0.061453488,0.074766558,0.144104169
33,43,-94.91953486,29.22519026,5,20,1,10.36555684,POINT (-10566394.28694958 3404339.0497745876),0.048320946,0.057324981,0.109850017
34,44,-94.9193493,29.22513884,5,20,1,53.08658084,POINT (-10566373.630504869 3404332.4908224135),0.071938865,0.088971578,0.171447789
35,45,-94.91922669,29.22537846,5,20,1,10.10180436,POINT (-10566359.981622102 3404363.055924783),0.049109989,0.058318152,0.111856488
36,46,-94.91904582,29.22533751,5,20,1,44.33915613,POINT (-10566339.847265802 3404357.8324786765),0.067269212,0.082551955,0.159219242
37,47,-94.91891989,29.22556768,5,20,1,10.21104627,POINT (-10566325.828802327 3404387.1922271745),0.054007917,0.064233833,0.129094275
38,48,-94.91873708,29.22552273,5,20,1,41.43485775,POINT (-10566305.478486214 3404381.458543861),0.073019245,0.089610021,0.180474775
39,49,-94.91859202,29.22596149,5,20,1,5.779367204,POINT (-10566289.330480881 3404437.4255233468),0.051738293,0.061260138,0.122956686
40,50,-94.91848885,29.22586727,5,20,1,22.82911958,POINT (-10566277.845649015 3404425.4070675224),0.061021638,0.07350496,0.148085712
41,51,-94.91860307,29.22623882,5,20,1,5.774362918,POINT (-10566290.560561255 3404472.801074187),0.041148921,0.047949315,0.101502005
42,52,-94.91843836,29.22613136,5,20,1,6.82751597,POINT (-10566272.225127924 3404459.0937224906),0.052266425,0.061950875,0.124384168
43,53,-94.91850076,29.22641383,5,20,1,13.87896986,POINT (-10566279.17146415 3404495.1249800944),0.044642417,0.052459728,0.111468086
44,54,-94.91873109,29.22660722,5,20,1,8.869664887,POINT (-10566304.811682465 3404519.793444348),0.042449784,0.049624063,0.105207424
45,55,-94.91857285,29.22676713,5,20,1,13.23658004,POINT (-10566287.196486242 3404540.1912980285),0.044355052,0.052087194,0.110646619
46,56,-94.92059037,29.22501607,5,20,1,42.96321032,POINT (-10566511.785785306 3404316.830731526),0.057937067,0.070302219,0.135725629
47,57,-94.92090132,29.22495006,5,20,1,42.63893356,POINT (-10566546.400580969 3404308.4107458056),0.057767324,0.07007481,0.135281538
48,58,-94.92091004,29.22530557,5,20,1,59.20469266,POINT (-10566547.371286929 3404353.75831972),0.080148775,0.099644451,0.198631332
49,59,-94.92073333,29.22543231,5,20,1,37.00473042,POINT (-10566527.700019712 3404369.9248552597),0.065176774,0.079331717,0.15867438
50,60,-94.92125992,29.2252725,5,20,1,40.559385,POINT (-10566586.319750367 3404349.5400231034),0.068379899,0.083342872,0.167451853
51,61,-94.92091493,29.22547683,5,20,1,10.14314838,POINT (-10566547.915639238 3404375.603684075),0.050684263,0.06010165,0.119701557
52,62,-94.92062082,29.22566291,5,20,1,10.67172488,POINT (-10566515.175463801 3404399.3394804723),0.050936148,0.060431405,0.120377712
53,63,-94.92042976,29.22561682,5,20,1,45.20169206,POINT (-10566493.906761892 3404393.4603768406),0.070358079,0.086317089,0.172567301
54,64,-94.92029842,29.22586463,5,20,1,10.20169511,POINT (-10566479.28605997 3404425.0703162127),0.050712101,0.060138086,0.119776281
55,65,-94.92011581,29.22580393,5,20,1,36.94394313,POINT (-10566458.958007757 3404417.327589638),0.065139777,0.079282025,0.158575007
56,66,-94.91995156,29.22591497,5,20,1,20.37423561,POINT (-10566440.673781393 3404431.4915529047),0.053980586,0.064739038,0.124535482
