,bldg_guid,geometry_x,poles_guid,geometry_y,substations_guid,geometry
0,b39dd67f-802e-402b-b7d5-51c4bbed3464,POINT (-94.92101 29.22867),ae93ce18-9d11-45a8-bd69-bba2ebc0f0ce,POINT (-94.92094918 29.22750947),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
1,e7467617-6844-437e-a938-7300418facb8,POINT (-94.92075 29.22871),fa601b28-94b2-45f6-b95f-cc254835cf93,POINT (-94.92072633 29.22781376),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
2,d7ce12df-660d-42fc-9786-f0f543c00002,POINT (-94.92106 29.22799),7f471cbc-1e8b-4c59-aba2-001432124595,POINT (-94.92112712 29.22852154),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
3,74aac543-8aae-4779-addf-754e307a772b,POINT (-94.92139 29.228),0ebc665b-d095-4c24-be3b-e0320fd1011a,POINT (-94.92143125 29.22721624),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
4,ed3147d3-b7b8-49da-96a9-ddedfccae60c,POINT (-94.92146 29.22749),0ebc665b-d095-4c24-be3b-e0320fd1011a,POINT (-94.92143125 29.22721624),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
5,5f2390a7-ce2e-417e-a684-255e304d05d7,POINT (-94.92182 29.22738),fedde0fa-fdb6-45c9-a989-120705cf3ff8,POINT (-94.92191328 29.22777762),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
6,69cb362d-4461-4158-b4a0-cf1c3b7d5ca0,POINT (-94.92199 29.22767),07fa1229-4958-4ad2-a4ad-a0622480e6bc,POINT (-94.92202825 29.22839616),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
7,7ae3da84-7114-4a1c-a8fa-f335d9f5e796,POINT (-94.9222 29.22779),b1e7cbb0-b000-4426-a255-a7e47e7378d9,POINT (-94.92212772 29.22678674),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
8,b892b5a7-837a-4b15-96f4-c0e77edd548e,POINT (-94.92251 29.22769),9f86f860-0924-41a7-becf-58d4dc94aaa2,POINT (-94.92257854 29.22656652),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
9,599cb53a-7535-4209-a61d-213527fba4f0,POINT (-94.9225 29.22729),9f86f860-0924-41a7-becf-58d4dc94aaa2,POINT (-94.92257854 29.22656652),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
10,8fb475a1-e6ab-49b1-a476-576df3a84bbb,POINT (-94.92239 29.22715),e34ddcd5-6113-49f5-acc6-8a71afa9dd9b,POINT (-94.92232193 29.22666654),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
11,6747e891-a21b-479b-a6b5-ef629c95eca3,POINT (-94.92295 29.22777),1470c7f1-9444-4356-ac12-ea88b166ca25,POINT (-94.92303018 29.22803088),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
12,bb4d5e18-9626-4962-992e-223abfc81b3e,POINT (-94.92252 29.22793),9f86f860-0924-41a7-becf-58d4dc94aaa2,POINT (-94.92257854 29.22656652),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
13,09b25d69-d8df-477e-993a-8d6ca83f8306,POINT (-94.92176 29.22818),c60603ce-0508-4f3b-9961-fbad402a557d,POINT (-94.921685 29.22844337),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
14,a96305d2-7100-402c-8a3e-0f0cadb524e6,POINT (-94.92157 29.2282),967cc4d0-14a9-434a-8eb1-129609cc0dc5,POINT (-94.92150234 29.22834645),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
15,522ac5ec-63a7-4524-9f4b-02c4a78cce2c,POINT (-94.92139 29.22823),0ebc665b-d095-4c24-be3b-e0320fd1011a,POINT (-94.92143125 29.22721624),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
16,8029eb7a-bcfb-4e77-848d-5d4c64bba6bb,POINT (-94.9212 29.22826),7f471cbc-1e8b-4c59-aba2-001432124595,POINT (-94.92112712 29.22852154),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
17,f756d292-5e2a-45bc-9c08-6b7de3bee9d7,POINT (-94.92094 29.22829),ae93ce18-9d11-45a8-bd69-bba2ebc0f0ce,POINT (-94.92094918 29.22750947),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
18,bdc47a2b-c8a8-4539-9843-1c7cc47660ef,POINT (-94.92077 29.22814),fa601b28-94b2-45f6-b95f-cc254835cf93,POINT (-94.92072633 29.22781376),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
19,07694174-1ae1-41ce-8f91-2c692b229665,POINT (-94.92049 29.22852),7749d436-9a5b-45ea-a890-e054bf1a2735,POINT (-94.92048664 29.22779405),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
20,b5c2ff30-7604-4454-ab11-e85578762501,POINT (-94.92022 29.22887),84e59896-53ee-4a48-a28f-77a68a4725ee,POINT (-94.92025872 29.22843536),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
21,c7bfdde1-be8a-4f3a-a8d5-3f86d8750338,POINT (-94.91989 29.22868),194efcdb-0bd0-4a82-b19e-25a53a988574,POINT (-94.91993016 29.22825093),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
22,84a71a6f-4915-43ec-b9a1-4a8b603c5c68,POINT (-94.91962 29.22874),1489424b-716f-4a6d-88d2-4b0aa1e5255b,POINT (-94.91963312 29.22843852),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
23,de1f952e-32e0-46e1-aa05-c189180dccb5,POINT (-94.9197 29.2289),1489424b-716f-4a6d-88d2-4b0aa1e5255b,POINT (-94.91963312 29.22843852),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
24,502dc6a9-c679-4ba4-a20a-22d6a8f2ae07,POINT (-94.9194 29.22924),0c8e8aed-88ed-4534-b8b5-4f745cf6eea2,POINT (-94.91947479 29.22902028),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
25,c6966fbe-3f8c-465e-b17f-f34dc65669c1,POINT (-94.91925 29.22895),8073237d-9551-4dcd-a7d3-f20f95d84f1b,POINT (-94.91932017 29.22872346),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
26,401bc8c5-dde1-41d3-be00-0940127cd84f,POINT (-94.9194 29.22846),8073237d-9551-4dcd-a7d3-f20f95d84f1b,POINT (-94.91932017 29.22872346),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
27,dd15578d-ef9c-451a-a66b-bd0011ebfb24,POINT (-94.91962 29.22832),1489424b-716f-4a6d-88d2-4b0aa1e5255b,POINT (-94.91963312 29.22843852),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
28,1140368f-e63e-480e-bc66-596350bfdcb9,POINT (-94.91978 29.22822),b4e04401-3fd0-4f97-903d-b308c41dedf7,POINT (-94.91978808 29.22736057),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
29,d345b00c-4431-4c7b-8460-f6aed19de161,POINT (-94.92004 29.22803),25566bb7-d207-477d-b155-58346d7fc49e,POINT (-94.920079 29.22816866),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
30,b24d09bc-fcd6-455e-b470-dac0be29b27a,POINT (-94.91977 29.22758),b4e04401-3fd0-4f97-903d-b308c41dedf7,POINT (-94.91978808 29.22736057),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
31,43815334-d77c-4721-b1b1-75b2bad2164f,POINT (-94.91923 29.2279),8073237d-9551-4dcd-a7d3-f20f95d84f1b,POINT (-94.91932017 29.22872346),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
