geometry,guid,average_power_back_time,average_transpo_back_time,dislocated_combined_dmg,disloc_building,disloc_inf,disloc_both,disloc_not,disloc_condition
POINT (-94.82423106850787 29.29098199078304),7916eaa8-0bfa-4b32-84ff-20f19a520f5c,0.0,0.0,True,1,0,0,0,1
POINT (-94.83229342071697 29.286356935413828),42167885-ea18-41b4-be8c-5c09c330d312,5.836,0.0,False,0,1,0,0,2
POINT (-94.81849788171759 29.27240508499781),3dab0b4b-42eb-4df6-a5e1-c1882df41704,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,False,0,0,0,1,4
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
POINT (-94.83008967220123 29.26982560548181),e474c4ef-a091-47ab-85b4-ef0459e37834,0.0,0.0,True,1,0,0,0,1
