OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
10,-94.8089769,29.28371394,four,40,1,Very Stiff,0,4.859425779,0.63240084,19.007078,0.83280605,0.20798515,0.085918724,111.72867,37.400704,1.6478477
11,-94.91827194,29.22275108,five,20,1,Very Stiff,0,45.44791898,1.3450221,9.5297024,2.4778582,0.55423429,0.67017374,337.09361,44.312943,3.0800346
12,-95.06629966,29.12499772,five,25,1,Very Stiff,0,31.43849358,0.75277085,11,16.930449,0.38706158,0.52286778,170.28289,36.961696,2.5820452
13,-94.91849422,29.22300584,five,20,1,Very Stiff,0,26.43765561,1.3450221,9.5297024,2.4778582,0.55423429,0.67017374,337.09361,44.312943,3.0800346
14,-94.91874305,29.22329632,five,20,1,Very Stiff,0,46.98701481,1.3450221,9.5297024,2.4778582,0.55423429,0.67017374,337.09361,44.312943,3.0800346
15,-94.91911512,29.22371298,five,20,1,Very Stiff,0,39.27955518,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
16,-94.9194438,29.22400208,five,20,1,Very Stiff,0,51.98340141,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
17,-94.91983777,29.2243574,five,20,1,Very Stiff,0,41.56988265,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
18,-94.92010483,29.22483518,five,20,1,Very Stiff,0,7.780913383,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
19,-94.91987187,29.22404684,five,20,1,Very Stiff,0,23.18732538,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
20,-94.92024275,29.22437733,five,20,1,Very Stiff,0,35.09606811,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
21,-94.9179311,29.22271882,five,20,1,Very Stiff,0,38.060045,1.6390242,35.815995,2.2910164,0.62576328,0.47568725,318.86915,44.639811,3.0816975
22,-94.91759134,29.22301469,five,20,1,Very Stiff,0,38.11014552,1.6390242,35.815995,2.2910164,0.62576328,0.47568725,318.86915,44.639811,3.0816975
23,-94.91725053,29.22330935,five,20,1,Very Stiff,0,32.73734392,1.6390242,35.815995,2.2910164,0.62576328,0.47568725,318.86915,44.639811,3.0816975
24,-94.92049862,29.22459034,five,20,1,Very Stiff,0,36.87906695,1.0514112,12.048297,2.3991375,0.46695051,0.6399007,342.02178,43.109784,3.0788083
25,-94.91700785,29.22365621,five,20,1,Very Stiff,0,22.57077803,2.691798,56,2.5235432,0.79666993,0.33106376,238.37845,45.442375,3.0895701
26,-94.91725092,29.22383327,five,20,1,Very Stiff,0,14.67621187,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
27,-94.9174267,29.2239761,five,20,1,Very Stiff,0,9.839807528,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
28,-94.91724612,29.22412535,five,20,1,Very Stiff,0,4.57678337,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
29,-94.91716518,29.22397526,five,20,1,Very Stiff,0,18.33065187,1.8460357,55,2.2554459,0.68424987,0.41127,323.00158,45.388616,3.0824422
30,-94.9185275,29.22364073,five,20,1,Very Stiff,0,23.94032171,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
31,-94.91831649,29.22372748,five,20,1,Very Stiff,0,11.79103153,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
32,-94.919238,29.22413629,five,20,1,Very Stiff,0,28.4875419,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
33,-94.91893442,29.22432618,five,20,1,Very Stiff,0,42.14890993,1.1347407,8.5381731,2.3642503,0.48237887,0.5943148,340.40011,42.037067,3.0796737
34,-94.91907637,29.22439814,five,20,1,Very Stiff,0,7.934475029,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
35,-94.91876776,29.22458173,five,20,1,Very Stiff,0,7.907952374,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
36,-94.91862623,29.2245279,five,20,1,Very Stiff,0,43.03039978,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
37,-94.91846011,29.22479071,five,20,1,Very Stiff,0,8.594006149,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
38,-94.91830636,29.22471452,five,20,1,Very Stiff,0,37.32694088,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
39,-94.91811241,29.2248435,five,20,1,Very Stiff,0,10.84804678,1.858143,37.967081,2.2264074,0.6952678,0.37167265,322.07672,45.255796,3.0841578
40,-94.91996563,29.22476504,five,20,1,Very Stiff,0,26.4321707,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
41,-94.91983723,29.22499962,five,20,1,Very Stiff,0,1.673028967,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
42,-94.91980975,29.22486057,five,20,1,Very Stiff,0,36.13726853,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
43,-94.91953486,29.22519026,five,20,1,Very Stiff,0,10.36555684,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
44,-94.9193493,29.22513884,five,20,1,Very Stiff,0,53.08658084,1.1963179,9.427254,2.2276484,0.49328561,0.54393377,335.93001,44.090098,3.0773215
45,-94.91922669,29.22537846,five,20,1,Very Stiff,0,10.10180436,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
46,-94.91904582,29.22533751,five,20,1,Very Stiff,0,44.33915613,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
47,-94.91891989,29.22556768,five,20,1,Very Stiff,0,10.21104627,1.5330864,10.989211,2.2438742,0.59684232,0.39918159,326.99284,45.013963,3.0901817
