,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_TOWER
0,10446,-94.87045821,29.28926788,,,3,146.029603,POINT (-10560931.09926174 3412515.124722293),0.0009446552770485672
1,10447,-94.87171319,29.28998686,,,3,145.692017,POINT (-10561070.802996295 3412606.8930725995),0.0009306048701800407
2,10448,-94.87306452,29.29064859,,,3,154.65873,POINT (-10561221.232363788 3412691.354783472),0.0009306048701800407
3,10449,-94.87448079,29.29119205,,,3,158.4593191,POINT (-10561378.890819015 3412760.7211900125),0.0010872439426080627
4,10450,-94.8759006,29.29173736,,,3,154.3826482,POINT (-10561536.943345238 3412830.3240987128),0.0017590782825372964
5,10451,-94.87724347,29.29239235,,,3,151.7052371,POINT (-10561686.430949839 3412913.926961411),0.0012226492784177534
6,10452,-94.87861492,29.29305656,,,3,152.2907933,POINT (-10561839.100065488 3412998.7072115885),0.0010908617150967581
7,10453,-94.87996829,29.2937116,,,3,151.0900278,POINT (-10561989.756524744 3413082.317536275),0.0012929768973113376
8,10454,-94.88131822,29.29437726,,,3,150.2885289,POINT (-10562140.030044949 3413167.283963678),0.0012185789671546043
9,10455,-94.88265724,29.29502627,,,3,149.0079226,POINT (-10562289.089069512 3413250.125678658),0.0011752025458822146
10,10456,-94.88398425,29.29567933,,,3,149.5155076,POINT (-10562436.81114699 3413333.484880036),0.0011123691079061304
11,10457,-94.8853324,29.29632018,,,3,151.2781526,POINT (-10562586.886518503 3413415.286066212),0.0010973263906273178
12,10458,-94.88669093,29.29699351,,,3,149.8839306,POINT (-10562738.11738633 3413501.2337093614),0.0010889655828844047
13,10459,-94.888014,29.29765841,,,3,149.6094427,POINT (-10562885.400865013 3413586.105855854),0.0011613717184866257
14,10460,-94.88936762,29.29833069,,,3,151.0982794,POINT (-10563036.085154142 3413671.920595282),0.0011793261699607482
15,10461,-94.89071742,29.29898354,,,3,151.3909291,POINT (-10563186.344202815 3413755.255688063),0.0011864260865972476
16,10462,-94.8920763,29.29964984,,,3,151.5585966,POINT (-10563337.614032462 3413840.308197843),0.0011903108073912927
17,10463,-94.89342908,29.30030852,,,3,150.3143546,POINT (-10563488.20481322 3413924.388568018),0.0012114314833140405
18,10464,-94.89476568,29.30096991,,,3,150.4237672,POINT (-10563636.994444614 3414008.8154149405),0.001326004743457787
