,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PR_VS,Pf_PR_SM,Pf_FF_VS,Pf_FF_S,Pf_FF_M,Pf_WoodPole_VS,Pf_WoodPole_S,Pf_WoodPole_M
0,10,-94.8089769,29.28371394,4,40,1,4.859425779,POINT (-10554087.031139238 3411806.259019905),0.008785476492560177,0.009603508980894572,0.0010888026645800922,0.001992419142470692,0.007381730868396062,0.009864713506925638,0.011576793908236849,0.01691434933060154
1,11,-94.91827194,29.22275108,5,20,1,45.44791898,POINT (-10566253.699338267 3404027.920282808),0.04168102943108706,0.04044619052385574,0.03846439762995761,0.05874602121061074,0.16599825207050833,0.07854219137138141,0.09681615896806373,0.19973044566449327
2,12,-95.06629966,29.12499772,5,25,1,31.43849358,POINT (-10582732.069751957 3391565.0837728544),0.03307495137137483,0.032087655711626556,0.016873408898375252,0.026655733903813785,0.07823093516166411,0.049390273090966996,0.05788806960319404,0.1078083435598246
3,13,-94.91849422,29.22300584,5,20,1,26.43765561,POINT (-10566278.44343468 3404060.415836256),0.035460514380348536,0.034346830009364705,0.030618283790828916,0.0457886325487517,0.13272025646322064,0.06499305807851119,0.07856276817960306,0.16250856638504374
4,14,-94.91874305,29.22329632,5,20,1,46.98701481,POINT (-10566306.143063575 3404097.46770268),0.04222803912692982,0.040983105222483385,0.039178128656639395,0.05993388844794815,0.168965498519894,0.07975175223373676,0.09846071681377666,0.2030238729375673
5,15,-94.91911512,29.22371298,5,20,1,39.27955518,POINT (-10566347.561706513 3404150.6145078246),0.03344727862395931,0.03247836063814138,0.031198477386099235,0.04659183508725172,0.12227587612567022,0.06360225184428248,0.07755696930263656,0.15078291676165745
6,16,-94.9194438,29.22400208,5,20,1,51.98340141,POINT (-10566384.150196748 3404187.490604177),0.03698494993542245,0.03595392756431175,0.035942692239895754,0.05438927606118925,0.14086806559566162,0.07159830350228136,0.08838769553372161,0.17175723293342215
7,17,-94.91983777,29.2243574,5,20,1,41.56988265,POINT (-10566428.006736536 3404232.8135228115),0.03393826981529394,0.032948588467567395,0.03178062820913644,0.047683290373990994,0.12355020986458078,0.06464031848936913,0.07906078173024622,0.15242799331223855
8,18,-94.92010483,29.22483518,5,20,1,7.780913383,POINT (-10566457.735719746 3404293.757100824),0.022802258966722107,0.02213420915918851,0.019763903547435593,0.027918255617170196,0.07401998502406716,0.04211550086727578,0.04943451626716855,0.09451582035277295
9,19,-94.91987187,29.22404684,5,20,1,23.18732538,POINT (-10566431.802731171 3404193.199966898),0.029432907145305214,0.02853974718334911,0.026053064205084502,0.038234411366378,0.10179205152893149,0.05471915393079074,0.06568295811562641,0.12742667929637042
10,20,-94.92024275,29.22437733,5,20,1,35.09606811,POINT (-10566473.088903917 3404235.355702884),0.02813163748991182,0.02736986423036888,0.026570042902006243,0.03867325338697554,0.1006951401046081,0.053954221576907546,0.06498463592279635,0.1253089920216559
11,21,-94.9179311,29.22271882,5,20,1,38.060045,POINT (-10566215.757203026 3404023.805409652),0.04070515744047973,0.0394035621032968,0.03622159532958092,0.05557564293098056,0.15705349177318978,0.07545234702942472,0.09278932673661588,0.19026858685986214
12,22,-94.91759134,29.22301469,5,20,1,38.11014552,POINT (-10566177.935292833 3404061.5446870103),0.040722642736861187,0.039420682980267796,0.03624356837633148,0.055612399476973634,0.15714619604991117,0.07549027722669432,0.09284080368768766,0.19037206865414047
13,23,-94.91725053,29.22330935,5,20,1,32.73734392,POINT (-10566139.996497177 3404099.1297328877),0.0388879347339218,0.037624718413878794,0.033958847539386786,0.0517984229542336,0.14745613948251998,0.07152619282655781,0.08747424029017647,0.17953286216997133
14,24,-94.92049862,29.22459034,5,20,1,36.87906695,POINT (-10566501.572222028 3404262.526319691),0.028518797161995714,0.02775068352399221,0.027086228789648198,0.03949940924921991,0.10270468426780215,0.054832559286908444,0.06615395716775241,0.12760524260224704
15,25,-94.91700785,29.22365621,5,20,1,22.57077803,POINT (-10566112.98148315 3404143.373233335),0.04209361342314816,0.040797755194979614,0.03571440735840168,0.054646180795345035,0.1644155744546417,0.0763046723245685,0.09321449448389552,0.19850554329277892
16,26,-94.91725092,29.22383327,5,20,1,14.67621187,POINT (-10566140.039911777 3404165.9580635997),0.03264789082473314,0.031532625439265674,0.026731299130842677,0.03994236171947075,0.11703158370784375,0.05850646941994886,0.07021549962747675,0.14487389605348588
17,27,-94.9174267,29.2239761,5,20,1,9.839807528,POINT (-10566159.607651869 3404184.1767258854),0.03131007659665255,0.03022624696215456,0.025195419823776436,0.037429632722535106,0.11022604995541209,0.05571662589586179,0.06652452236231554,0.13712057710995162
18,28,-94.91724612,29.22412535,5,20,1,4.57678337,POINT (-10566139.505578222 3404203.2143175923),0.02991454039459203,0.028864220754911823,0.023621724714424832,0.03486801066108151,0.10321658952001485,0.052829632070857335,0.06272579345898721,0.12910154384945183
19,29,-94.91716518,29.22397526,5,20,1,18.33065187,POINT (-10566130.495378638 3404184.0695797196),0.0336952275754712,0.03255580607545867,0.027951851073843445,0.041947442168453586,0.12241306652204395,0.060705234666225794,0.07313761545131459,0.15098361654270875
20,30,-94.9185275,29.22364073,5,20,1,23.94032171,POINT (-10566282.148147335 3404141.3986888644),0.029609868273096293,0.028713241988595536,0.026274259052977936,0.03859117758497,0.10267856048064945,0.055106149976542396,0.06619634175294342,0.12844356811512347
21,31,-94.91831649,29.22372748,5,20,1,11.79103153,POINT (-10566258.658621581 3404152.464050129),0.02687675327912172,0.026035057225201302,0.02291880765082723,0.03320723177539613,0.08918302430897695,0.04917957779126603,0.05837773682103442,0.11289619639277748
22,32,-94.919238,29.22413629,5,20,1,28.4875419,POINT (-10566361.240645545 3404204.609770966),0.03070062704821486,0.029782900029692767,0.027649356309106303,0.04081445268620933,0.10817852948611728,0.05750113078115204,0.06938177995178207,0.13473955918676583
23,33,-94.91893442,29.22432618,5,20,1,42.14890993,POINT (-10566327.446274528 3404228.8312427304),0.03421660264224059,0.033233823692815245,0.0322140254485423,0.04825433258215667,0.1262812468171721,0.0653283735825031,0.07988448029352213,0.1553182618175566
24,34,-94.91907637,29.22439814,5,20,1,7.934475029,POINT (-10566343.248076247 3404238.010132278),0.02598948440872228,0.025157131666150922,0.02181323895662043,0.03154100558945654,0.08398974606871575,0.04723580853157594,0.055904656025110744,0.10703393663440952
25,35,-94.91876776,29.22458173,5,20,1,7.907952374,POINT (-10566308.893768191 3404261.4280649414),0.03248024479145282,0.03137207427085629,0.025980567026880504,0.03859480600276517,0.11361354085814562,0.05761695664147948,0.0687560811532335,0.14142132268702512
26,36,-94.91862623,29.2245279,5,20,1,43.03039978,POINT (-10566293.138720661 3404254.561742626),0.04387628614688654,0.04252507458071392,0.0397443955222671,0.061429564991416635,0.17285330669486143,0.0818768451984836,0.10134234273940979,0.20802778151685342
27,37,-94.91846011,29.22479071,5,20,1,8.594006149,POINT (-10566274.64632685 3404288.0846853876),0.03267267286402243,0.031560041439084134,0.026198623829077214,0.03895065390220276,0.11457863559852458,0.058015317627244656,0.06928141109005392,0.14252257055008544
28,38,-94.91830636,29.22471452,5,20,1,37.32694088,POINT (-10566257.530955141 3404278.3661992718),0.041795433063944884,0.04048561014059664,0.0371091656238375,0.05700920720859677,0.16179727459817006,0.07735360503989241,0.09518676481172161,0.19573242335757413
29,39,-94.91811241,29.2248435,5,20,1,10.84804678,POINT (-10566235.940539902 3404294.818367039),0.03331268302434379,0.032185310833568216,0.02692766160917617,0.040142087755236824,0.1177998453829668,0.05934331197774667,0.07103541301689442,0.14619373157673798
30,40,-94.91996563,29.22476504,5,20,1,26.4321707,POINT (-10566442.240046628 3404284.81032392),0.03010578877567625,0.029188935182138675,0.026841859711014597,0.03962419165119789,0.10406986321643631,0.05613955312788477,0.06765653887158518,0.1302211099067364
31,41,-94.91983723,29.22499962,5,20,1,1.673028967,POINT (-10566427.94662401 3404314.732431289),0.024724349251594325,0.02391940722546028,0.02032940145292293,0.0291849237434635,0.07803146904338909,0.044551119482919344,0.052406244893059895,0.10008440978439959
32,42,-94.91980975,29.22486057,5,20,1,36.13726853,POINT (-10566424.887564404 3404296.995748834),0.03251154048357941,0.03154835385177147,0.029914514119348885,0.04462608317318748,0.11622244146906936,0.06145348766609049,0.07476655756199269,0.14410416861185782
