,guid,geometry_x,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry_y,distance
0,b39dd67f-802e-402b-b7d5-51c4bbed3464,POINT (-94.92101 29.22867),81,-94.92094918,29.22750947,5,20,1,44.33990767,POINT (-94.92094918 29.22750947),12.9720832
1,e7467617-6844-437e-a938-7300418facb8,POINT (-94.92075 29.22871),83,-94.92072633,29.22781376,5,20,1,12.17356364,POINT (-94.92072633 29.22781376),8.944374289
2,d7ce12df-660d-42fc-9786-f0f543c00002,POINT (-94.92106 29.22799),93,-94.92112712,29.22852154,5,20,1,31.15573467,POINT (-94.92112712 29.22852154),9.022716098
3,74aac543-8aae-4779-addf-754e307a772b,POINT (-94.92139 29.228),80,-94.92143125,29.22721624,5,20,1,65.90385673,POINT (-94.92143125 29.22721624),8.771394102
4,ed3147d3-b7b8-49da-96a9-ddedfccae60c,POINT (-94.92146 29.22749),80,-94.92143125,29.22721624,5,20,1,65.90385673,POINT (-94.92143125 29.22721624),4.12793344
5,5f2390a7-ce2e-417e-a684-255e304d05d7,POINT (-94.92182 29.22738),87,-94.92191328,29.22777762,5,20,1,9.600069703,POINT (-94.92191328 29.22777762),11.04416374
6,69cb362d-4461-4158-b4a0-cf1c3b7d5ca0,POINT (-94.92199 29.22767),90,-94.92202825,29.22839616,5,20,1,81.64476734,POINT (-94.92202825 29.22839616),8.129318464
7,7ae3da84-7114-4a1c-a8fa-f335d9f5e796,POINT (-94.9222 29.22779),79,-94.92212772,29.22678674,5,20,1,49.80779325,POINT (-94.92212772 29.22678674),12.49868463
8,b892b5a7-837a-4b15-96f4-c0e77edd548e,POINT (-94.92251 29.22769),77,-94.92257854,29.22656652,5,20,1,33.63740173,POINT (-94.92257854 29.22656652),13.15280699
9,599cb53a-7535-4209-a61d-213527fba4f0,POINT (-94.9225 29.22729),77,-94.92257854,29.22656652,5,20,1,33.63740173,POINT (-94.92257854 29.22656652),11.13204045
10,8fb475a1-e6ab-49b1-a476-576df3a84bbb,POINT (-94.92239 29.22715),76,-94.92232193,29.22666654,5,20,1,27.42569309,POINT (-94.92232193 29.22666654),8.863857366
11,6747e891-a21b-479b-a6b5-ef629c95eca3,POINT (-94.92295 29.22777),94,-94.92303018,29.22803088,5,20,1,76.32322097,POINT (-94.92303018 29.22803088),9.256634527
12,bb4d5e18-9626-4962-992e-223abfc81b3e,POINT (-94.92252 29.22793),77,-94.92257854,29.22656652,5,20,1,33.63740173,POINT (-94.92257854 29.22656652),14.54728663
13,09b25d69-d8df-477e-993a-8d6ca83f8306,POINT (-94.92176 29.22818),91,-94.921685,29.22844337,5,20,1,60.53585331,POINT (-94.921685 29.22844337),8.709883384
14,a96305d2-7100-402c-8a3e-0f0cadb524e6,POINT (-94.92157 29.2282),92,-94.92150234,29.22834645,5,20,1,10.2105191,POINT (-94.92150234 29.22834645),7.652064155
15,522ac5ec-63a7-4524-9f4b-02c4a78cce2c,POINT (-94.92139 29.22823),80,-94.92143125,29.22721624,5,20,1,65.90385673,POINT (-94.92143125 29.22721624),10.70322114
16,8029eb7a-bcfb-4e77-848d-5d4c64bba6bb,POINT (-94.9212 29.22826),93,-94.92112712,29.22852154,5,20,1,31.15573467,POINT (-94.92112712 29.22852154),8.479207158
17,f756d292-5e2a-45bc-9c08-6b7de3bee9d7,POINT (-94.92094 29.22829),81,-94.92094918,29.22750947,5,20,1,44.33990767,POINT (-94.92094918 29.22750947),7.51468008
18,bdc47a2b-c8a8-4539-9843-1c7cc47660ef,POINT (-94.92077 29.22814),83,-94.92072633,29.22781376,5,20,1,12.17356364,POINT (-94.92072633 29.22781376),5.767341186
19,07694174-1ae1-41ce-8f91-2c692b229665,POINT (-94.92049 29.22852),84,-94.92048664,29.22779405,5,20,1,15.87122417,POINT (-94.92048664 29.22779405),6.933853529
20,b5c2ff30-7604-4454-ab11-e85578762501,POINT (-94.92022 29.22887),102,-94.92025872,29.22843536,5,20,1,11.12481696,POINT (-94.92025872 29.22843536),5.976591349
